"Ajatempel (UTC)";"Kuupäev (Eesti aeg)";"NPS Läti";"NPS Leedu";"NPS Soome";"NPS Eesti"
"1640988000";"01.01.2022 00:00";"57,98";"57,98";"29,76";"57,98"
"1640991600";"01.01.2022 01:00";"50,05";"50,05";"46,6";"50,05"
"1640995200";"01.01.2022 02:00";"41,33";"41,33";"41,33";"41,33"
"1640998800";"01.01.2022 03:00";"42,18";"42,18";"42,18";"42,18"
"1641002400";"01.01.2022 04:00";"44,37";"44,37";"44,37";"44,37"
"1641006000";"01.01.2022 05:00";"37,67";"37,67";"37,67";"37,67"
"1641009600";"01.01.2022 06:00";"39,7";"39,7";"39,7";"39,7"
"1641013200";"01.01.2022 07:00";"40,59";"40,59";"40,59";"40,59"
"1641016800";"01.01.2022 08:00";"43,26";"43,26";"43,26";"43,26"
"1641020400";"01.01.2022 09:00";"49,66";"49,66";"49,66";"49,66"
"1641024000";"01.01.2022 10:00";"70,05";"70,05";"65,48";"70,05"
"1641027600";"01.01.2022 11:00";"76,79";"76,79";"76,53";"76,79"
"1641031200";"01.01.2022 12:00";"84,1";"84,1";"83,63";"84,1"
"1641034800";"01.01.2022 13:00";"94,74";"94,74";"94,74";"94,74"
"1641038400";"01.01.2022 14:00";"96,8";"96,8";"94,02";"96,8"
"1641042000";"01.01.2022 15:00";"97,17";"97,17";"97,17";"97,17"
"1641045600";"01.01.2022 16:00";"101,27";"101,27";"101,27";"101,27"
"1641049200";"01.01.2022 17:00";"126,6";"126,6";"126,6";"126,6"
"1641052800";"01.01.2022 18:00";"149,97";"149,97";"149,97";"149,97"
"1641056400";"01.01.2022 19:00";"146,33";"146,33";"146,33";"146,33"
"1641060000";"01.01.2022 20:00";"140,28";"140,28";"140,28";"140,28"
"1641063600";"01.01.2022 21:00";"121,88";"121,88";"121,88";"121,88"
"1641067200";"01.01.2022 22:00";"102,61";"102,61";"102,61";"102,61"
"1641070800";"01.01.2022 23:00";"97,46";"97,46";"97,46";"97,46"
"1641074400";"02.01.2022 00:00";"85,16";"85,16";"85,16";"85,16"
"1641078000";"02.01.2022 01:00";"57,08";"57,08";"57,08";"57,08"
"1641081600";"02.01.2022 02:00";"55,09";"55,09";"55,09";"55,09"
"1641085200";"02.01.2022 03:00";"52,82";"52,82";"52,82";"52,82"
"1641088800";"02.01.2022 04:00";"34,94";"34,94";"34,94";"34,94"
"1641092400";"02.01.2022 05:00";"29,56";"29,56";"29,56";"29,56"
"1641096000";"02.01.2022 06:00";"53,01";"53,01";"53,01";"53,01"
"1641099600";"02.01.2022 07:00";"34,52";"34,52";"34,52";"34,52"
"1641103200";"02.01.2022 08:00";"41,8";"41,8";"41,8";"41,8"
"1641106800";"02.01.2022 09:00";"48,95";"48,95";"48,95";"48,95"
"1641110400";"02.01.2022 10:00";"60,01";"60,01";"60,01";"60,01"
"1641114000";"02.01.2022 11:00";"70,09";"70,09";"70,09";"70,09"
"1641117600";"02.01.2022 12:00";"66,26";"66,26";"66,26";"66,26"
"1641121200";"02.01.2022 13:00";"64,54";"64,54";"64,54";"64,54"
"1641124800";"02.01.2022 14:00";"46,96";"46,96";"46,96";"46,96"
"1641128400";"02.01.2022 15:00";"65,19";"65,19";"65,19";"65,19"
"1641132000";"02.01.2022 16:00";"81,09";"81,09";"74,99";"81,09"
"1641135600";"02.01.2022 17:00";"88,46";"88,46";"88,15";"88,46"
"1641139200";"02.01.2022 18:00";"95,4";"95,4";"95,4";"95,4"
"1641142800";"02.01.2022 19:00";"86,71";"86,71";"86,71";"86,71"
"1641146400";"02.01.2022 20:00";"71,72";"71,72";"71,27";"71,72"
"1641150000";"02.01.2022 21:00";"56,73";"56,73";"54,12";"56,73"
"1641153600";"02.01.2022 22:00";"46,16";"46,16";"46,16";"46,16"
"1641157200";"02.01.2022 23:00";"46,29";"46,29";"46,29";"46,29"
"1641160800";"03.01.2022 00:00";"32,93";"32,93";"32,93";"32,93"
"1641164400";"03.01.2022 01:00";"20,89";"20,89";"20,89";"20,89"
"1641168000";"03.01.2022 02:00";"19,92";"19,92";"19,92";"19,92"
"1641171600";"03.01.2022 03:00";"19,87";"19,87";"19,87";"19,87"
"1641175200";"03.01.2022 04:00";"19,82";"19,82";"19,82";"19,82"
"1641178800";"03.01.2022 05:00";"20,26";"20,26";"20,26";"20,26"
"1641182400";"03.01.2022 06:00";"29,35";"29,35";"29,35";"29,35"
"1641186000";"03.01.2022 07:00";"80";"80";"80";"80"
